hour,min,sec,ra,deg,arcmin,arcsec,dec,f100,f60,ratio,Temp,planck,Mass
4,3,0.26,60.75108333,-73,59,37.3,-73.99369444,5.4226,0.264,0.048685133,17.21506913,9.30108E-17,2.30135E+25
4,2,55.34,60.73058333,-73,58,3.4,-73.96761111,5.6127,0.3056,0.054447948,17.56749413,1.09998E-16,2.01416E+25
4,2,52.6,60.71916667,-73,56,33,-73.9425,5.7265,0.3018,0.052702349,17.46336167,1.04753E-16,2.1579E+25
4,2,51.23,60.71345833,-73,55,15,-73.92083333,5.7407,0.2656,0.046266135,17.05916629,8.61681E-17,2.62983E+25
4,2,48.61,60.70254167,-73,53,56.3,-73.89897222,5.7324,0.2609,0.045513223,17.00957348,8.40741E-17,2.69143E+25
4,2,44.05,60.68354167,-73,52,20.6,-73.87238889,6.0045,0.307,0.05112832,17.36756604,1.00097E-16,2.36791E+25
4,2,42.73,60.67804167,-73,50,54.1,-73.84836111,6.1301,0.3542,0.05778046,17.76056734,1.20247E-16,2.01235E+25
4,2,40.5,60.66875,-73,49,25,-73.82361111,6.2707,0.3281,0.052322707,17.44042521,1.03623E-16,2.38873E+25
4,2,36.71,60.65295833,-73,47,57.1,-73.79919444,6.2278,0.3133,0.050306689,17.31681275,9.76944E-17,2.51636E+25
4,2,34.77,60.644875,-73,46,34.5,-73.77625,6.1569,0.3004,0.048790788,17.22176394,9.33137E-17,2.60451E+25
4,2,30.77,60.62820833,-73,44,51.7,-73.74769444,6.0266,0.3121,0.051787077,17.40788361,1.02037E-16,2.33144E+25
4,3,22.47,60.843625,-73,59,15.5,-73.98763889,5.2859,0.1828,0.034582569,16.22023391,5.56953E-17,3.74635E+25
4,3,17.63,60.82345833,-73,57,53.4,-73.96483333,5.4781,0.2132,0.038918603,16.55055124,6.64866E-17,3.2524E+25
4,3,16.36,60.81816667,-73,56,38.6,-73.94405556,5.5013,0.1884,0.034246451,16.19351121,5.48857E-17,3.95653E+25
4,3,11.92,60.79966667,-73,54,57.7,-73.91602778,5.6115,0.1572,0.0280139,15.66277374,4.06125E-17,5.45416E+25
4,3,9.95,60.79145833,-73,53,26.7,-73.89075,5.6899,0.1992,0.035009403,16.25392222,5.67291E-17,3.9592E+25
4,3,6.25,60.77604167,-73,52,2.1,-73.86725,5.8041,0.2453,0.042263228,16.78918689,7.52349E-17,3.04526E+25
4,3,3.2,60.76333333,-73,50,33.6,-73.84266667,5.849,0.2658,0.045443666,17.00496522,8.38815E-17,2.75248E+25
4,3,1.25,60.75520833,-73,49,2.6,-73.81738889,5.9679,0.2622,0.043935053,16.90387578,7.9741E-17,2.95426E+25
4,2,57.43,60.73929167,-73,47,34.7,-73.79297222,5.8663,0.2586,0.044082301,16.91384059,8.0142E-17,2.88943E+25
4,2,55.29,60.730375,-73,46,17.4,-73.7715,5.9049,0.2494,0.042236109,16.78730244,7.51625E-17,3.10113E+25
4,2,53.08,60.72116667,-73,44,39.8,-73.74438889,5.7856,0.264,0.045630531,17.01733495,8.43992E-17,2.70594E+25
4,3,40.4,60.91833333,-73,57,36,-73.96,5.2922,0.1459,0.027568875,15.62195906,3.96491E-17,5.2688E+25
4,3,38.32,60.90966667,-73,56,21.9,-73.93941667,5.4277,0.1533,0.028244008,15.68370647,4.11136E-17,5.21121E+25
4,3,34.92,60.8955,-73,54,47,-73.91305556,5.5092,0.1441,0.026156248,15.4893789,3.66425E-17,5.93488E+25
4,3,32.21,60.88420833,-73,53,36.7,-73.89352778,5.5218,0.1704,0.030859502,15.91396202,4.69517E-17,4.64235E+25
4,3,27.44,60.86433333,-73,51,57.7,-73.86602778,5.4415,0.1659,0.030487917,15.88206781,4.61066E-17,4.65869E+25
4,3,24.53,60.85220833,-73,50,24.1,-73.84002778,5.482,0.1792,0.0326888,16.06734656,5.11857E-17,4.22765E+25
4,3,20.08,60.83366667,-73,48,51.7,-73.81436111,5.5367,0.1785,0.032239421,16.03020772,5.01343E-17,4.35938E+25
4,3,19.49,60.83120833,-73,47,24.7,-73.79019444,5.58,0.1909,0.03421147,16.19072009,5.48016E-17,4.01929E+25
4,3,17.17,60.82154167,-73,46,4,-73.76777778,5.632,0.2102,0.037322443,16.43191688,6.24403E-17,3.56046E+25
4,3,13.52,60.80633333,-73,44,31,-73.74194444,5.5867,0.239,0.042780174,16.82495969,7.66189E-17,2.87825E+25
4,3,58.15,60.99229167,-73,55,44.8,-73.92911111,5.2422,0.1691,0.032257449,16.0317043,5.01764E-17,4.12404E+25
4,3,55.76,60.98233333,-73,54,24.2,-73.90672222,5.3552,0.1439,0.026871079,15.5570573,3.8154E-17,5.54043E+25
4,3,52.13,60.96720833,-73,53,2.9,-73.88413889,5.3391,0.1486,0.027832406,15.64618151,4.02186E-17,5.24022E+25
4,3,39.71,60.91545833,-73,48,31.5,-73.80875,5.269,0.118,0.022395141,15.11087756,2.90339E-17,7.1636E+25
4,3,40.01,60.91670833,-73,47,7.2,-73.78533333,5.278,0.1549,0.029348238,15.78259245,4.35469E-17,4.78433E+25
4,3,36.75,60.903125,-73,45,43.9,-73.76219444,5.3127,0.1531,0.028817739,15.73540323,4.23721E-17,4.9493E+25
4,3,30.28,60.87616667,-73,44,11.4,-73.7365,5.3722,0.199,0.037042552,16.41077235,6.17396E-17,3.43477E+25
4,3,52.25,60.96770833,-73,44,1.1,-73.73363889,5.2367,0.1291,0.02465293,15.34284638,3.35308E-17,6.16484E+25
4,3,53.91,60.974625,-73,42,40.7,-73.71130556,5.3088,0.1318,0.024826703,15.36008947,3.38858E-17,6.18425E+25
4,3,31.97,60.88320833,-73,42,51,-73.71416667,5.4607,0.1502,0.027505631,15.61612279,3.95128E-17,5.45531E+25
4,3,12.34,60.80141667,-73,42,59.4,-73.7165,5.6856,0.1772,0.031166456,15.94011558,4.76536E-17,4.70965E+25
4,2,49.12,60.70466667,-73,43,17.1,-73.72141667,5.7773,0.2195,0.037993526,16.48219312,6.41312E-17,3.55602E+25
4,2,27.93,60.616375,-73,43,26.4,-73.724,5.9246,0.289,0.048779664,17.22105956,9.32818E-17,2.5071E+25
4,2,8.42,60.53508333,-73,43,37.7,-73.72713889,5.9801,0.2732,0.045684855,17.02092483,8.45499E-17,2.79193E+25
4,1,46.39,60.44329167,-73,43,55.8,-73.73216667,6.0419,0.2759,0.045664443,17.0195763,8.44933E-17,2.82267E+25
4,1,27,60.3625,-73,44,10.1,-73.73613889,5.9226,0.2833,0.047833722,17.16077626,9.05826E-17,2.58093E+25
4,1,3.63,60.265125,-73,44,15.4,-73.73761111,5.8513,0.2899,0.049544546,17.26925818,9.54836E-17,2.41898E+25
4,0,43.45,60.18104167,-73,44,30,-73.74166667,6.1403,0.3501,0.057016758,17.71695557,1.17871E-16,2.05632E+25
4,3,49.27,60.95529167,-73,41,13.5,-73.68708333,5.2765,0.1367,0.025907325,15.46551776,3.61209E-17,5.76628E+25
4,3,29.36,60.87233333,-73,41,23.9,-73.68997222,5.3926,0.1419,0.026313837,15.50440566,3.6974E-17,5.75719E+25
4,3,7.73,60.78220833,-73,41,40.5,-73.69458333,5.4934,0.123,0.022390505,15.11038511,2.90249E-17,7.47101E+25
4,2,45.2,60.68833333,-73,41,46,-73.69611111,5.582,0.1605,0.028753135,15.72961683,4.22297E-17,5.21771E+25
4,2,26.78,60.61158333,-73,42,3.3,-73.70091667,5.6938,0.212,0.037233482,16.4252076,6.22173E-17,3.61243E+25
4,2,4.84,60.52016667,-73,42,13,-73.70361111,5.786,0.219,0.037849983,16.47148847,6.37683E-17,3.58164E+25
4,1,45.99,60.441625,-73,42,20.3,-73.70563889,5.7675,0.2534,0.043935847,16.90392963,7.97432E-17,2.85498E+25
4,1,23.21,60.34670833,-73,42,38.8,-73.71077778,5.6801,0.2872,0.05056249,17.33267031,9.84403E-17,2.27768E+25
4,1,1.83,60.257625,-73,42,52.8,-73.71466667,5.6265,0.3029,0.053834533,17.53114618,1.08145E-16,2.05371E+25
4,0,43.54,60.18141667,-73,43,4.3,-73.71786111,5.845,0.3236,0.055363559,17.62126891,1.12784E-16,2.04572E+25
4,3,4.84,60.77016667,-73,40,15.3,-73.67091667,5.2568,0.1099,0.020906255,14.94899819,2.61886E-17,7.9235E+25
4,2,44.04,60.6835,-73,40,22.8,-73.673,5.4544,0.1662,0.030470813,15.88059345,4.60679E-17,4.67366E+25
4,2,22.63,60.59429167,-73,40,25.6,-73.67377778,5.5808,0.2136,0.038274083,16.50303896,6.48425E-17,3.39739E+25
