F60,RA,DEC,F100,RA.1,DEC.1,F90,RA.2,DEC.2,F140,RA.3,DEC.3
2.704223156,69.45227504,42.34141018,12.95940399,69.45227504,42.34141018,9.228999138,69.45227504,42.34141018,30.3224144,69.45227504,42.34141018
2.784355164,69.43198334,42.3414567,13.10284615,69.43198334,42.3414567,9.550470352,69.43198334,42.3414567,35.20837402,69.43198334,42.3414567
2.784355164,69.41169158,42.34149963,13.10284615,69.41169158,42.34149963,9.845189095,69.41169158,42.34149963,35.15597534,69.41169158,42.34149963
2.764276743,69.39139975,42.34153899,13.19594955,69.39139975,42.34153899,10.1231041,69.39139975,42.34153899,36.54398727,69.39139975,42.34153899
2.764276743,69.37110787,42.34157476,13.19594955,69.37110787,42.34157476,10.12947178,69.37110787,42.34157476,36.22954178,69.37110787,42.34157476
2.809210539,69.35081594,42.34160697,13.31789207,69.35081594,42.34160697,10.36096668,69.35081594,42.34160697,35.15721893,69.35081594,42.34160697
2.887652874,69.33052397,42.34163559,13.57557774,69.33052397,42.34163559,10.36015034,69.33052397,42.34163559,35.65369034,69.33052397,42.34163559
2.887652874,69.31023197,42.34166063,13.57557774,69.31023197,42.34166063,10.584939,69.31023197,42.34166063,35.19482803,69.31023197,42.34166063
2.862019539,69.28993993,42.3416821,13.72099209,69.28993993,42.3416821,10.16989136,69.28993993,42.3416821,35.62365723,69.28993993,42.3416821
2.862019539,69.26964786,42.34169999,13.72099209,69.26964786,42.34169999,10.05123234,69.26964786,42.34169999,34.51605606,69.26964786,42.34169999
2.890735626,69.24935576,42.3417143,14.01336861,69.24935576,42.3417143,9.983947754,69.24935576,42.3417143,34.45000076,69.24935576,42.3417143
2.873187065,69.22906365,42.34172504,14.45456696,69.22906365,42.34172504,10.13287926,69.22906365,42.34172504,33.09319305,69.22906365,42.34172504
2.873187065,69.20877153,42.34173219,14.45456696,69.20877153,42.34173219,10.15825653,69.20877153,42.34173219,33.65054321,69.20877153,42.34173219
3.052837849,69.1884794,42.34173577,14.60149765,69.1884794,42.34173577,10.88967896,69.1884794,42.34173577,34.9317131,69.1884794,42.34173577
3.052837849,69.16818727,42.34173577,14.60149765,69.16818727,42.34173577,10.79059792,69.16818727,42.34173577,35.58618164,69.16818727,42.34173577
3.106493711,69.14789514,42.34173219,14.47295094,69.14789514,42.34173219,10.81895161,69.14789514,42.34173219,35.05633163,69.14789514,42.34173219
3.050098658,69.12760301,42.34172504,14.23912048,69.12760301,42.34172504,10.14660835,69.12760301,42.34172504,33.45597839,69.12760301,42.34172504
3.029671907,69.1073109,42.3417143,14.22213173,69.1073109,42.3417143,8.853481293,69.1073109,42.3417143,32.92333984,69.1073109,42.3417143
2.966337442,69.08701881,42.34169999,13.86851406,69.08701881,42.34169999,9.559252739,69.08701881,42.34169999,32.0692482,69.08701881,42.34169999
2.966337442,69.06672674,42.3416821,13.86851406,69.06672674,42.3416821,9.667612076,69.06672674,42.3416821,32.75690079,69.06672674,42.3416821
2.82461524,69.0464347,42.34166063,13.52347755,69.0464347,42.34166063,9.353577614,69.0464347,42.34166063,30.71733284,69.0464347,42.34166063
2.769449949,69.02614269,42.34163559,13.54054165,69.02614269,42.34163559,9.875879288,69.02614269,42.34163559,30.80319405,69.02614269,42.34163559
2.769449949,69.00585072,42.34160697,13.54054165,69.00585072,42.34160697,9.564336777,69.00585072,42.34160697,32.59020233,69.00585072,42.34160697
2.705911398,68.98555879,42.34157476,13.39838791,68.98555879,42.34157476,9.129378319,68.98555879,42.34157476,32.31727219,68.98555879,42.34157476
2.705911398,68.96526692,42.34153899,13.39838791,68.96526692,42.34153899,9.03178978,68.96526692,42.34153899,31.64364815,68.96526692,42.34153899
2.693435192,68.94497509,42.34149963,13.55256367,68.94497509,42.34149963,9.357141495,68.94497509,42.34149963,32.74509811,68.94497509,42.34149963
2.773396492,68.92468332,42.3414567,13.34191704,68.92468332,42.3414567,9.624858856,68.92468332,42.3414567,31.56121063,68.92468332,42.3414567
2.773396492,68.90439162,42.34141018,13.34191704,68.90439162,42.34141018,9.559103966,68.90439162,42.34141018,33.1095314,68.90439162,42.34141018
